dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,11,,,,,,0.0,298681,geometry/pose_raw,96.19741821289062,0.0
0.0,0.0,,12,,,,,,0.0,298690,geometry/pose_raw,96.19855499267578,0.0
0.0,0.0,,13,,,,,,0.0,298708,geometry/pose_raw,96.19990539550781,0.0
0.0,0.0,,14,,,,,,0.0,298715,geometry/pose_raw,96.19970703125,0.0
0.0,0.0,,15,,,,,,0.0,298721,geometry/pose_raw,96.19853973388672,0.0
,,"[ 640  703  750  359  218  312  296  484  546  656  390  187  343 1343
  765  281  203  500  562  921  375  406  328  734  578  937  265  718
  687  609 1453  250]",16,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-1.21969804e-02  5.24023315e-03 -7.62698427e-03 -8.72380752e-03
 -7.56761339e-03 -5.30767906e-03 -7.20583275e-03 -5.35133248e-03
 -6.18001865e-03  2.76171719e-03 -6.35829289e-03 -8.49566795e-03
 -5.50188078e-03 -3.86777171e-03 -3.35057988e-03 -5.30689117e-03
 -5.41861588e-03 -2.61406321e-03 -3.31133301e-03 -3.38930404e-03
 -5.46990801e-03 -4.77385847e-03 -1.28928223e-03 -3.20389541e-03
 -2.21479626e-04 -2.87437206e-03 -6.47605117e-03 -3.20761651e-03
 -1.41241588e-03 -2.65043043e-03 -2.97519797e-03 -2.72586616e-03
 -6.75747229e-04  4.61155694e-04 -8.34567531e-04  1.17758405e-03
  2.83456175e-03 -1.48593227e-03  6.62024249e-04 -3.38442624e-04
 -2.32366889e-04  3.62103106e-04 -1.05690397e-03 -1.30471692e-03
  3.03075831e-05 -7.32512708e-05  8.81734653e-04  1.64100633e-03
  1.48753589e-03  2.05431745e-04 -4.73830878e-05  5.08950092e-04
  6.86986605e-04 -2.50725716e-04  7.67531019e-05  2.04839045e-04
  9.12615869e-05  5.39472094e-04 -1.20349252e-03 -3.41266714e-04
  6.33363728e-04  6.21451647e-04 -6.97129071e-05 -9.39687423e-04
 -3.18076946e-02  1.76228825e-02 -1.91662088e-02 -1.51168732e-02
 -1.13796545e-02 -6.31552469e-03 -1.36087118e-02 -1.13245500e-02
 -1.49495760e-02  1.53361615e-02 -1.14678452e-02 -7.79414410e-03
 -5.32667246e-03 -1.15293730e-02 -7.53613794e-03 -8.12900160e-03
 -6.71144854e-03 -7.91121088e-03 -5.34088025e-03 -7.99717847e-03
 -7.22315814e-03 -8.25992972e-03 -2.32061627e-03 -6.18167734e-03
  1.94668537e-05 -8.18097964e-03 -1.95158552e-03 -5.93349198e-03
  6.89688139e-04 -4.83965175e-03 -8.01086612e-03  9.63272934e-04
 -1.61835048e-02  1.01109911e-02 -9.11360234e-03 -9.28660575e-03
 -7.67486962e-03 -4.78779152e-03 -4.36487515e-03 -4.59087873e-03
 -6.98134257e-03  5.54259541e-03 -5.72675653e-03 -6.93174824e-03
 -5.45457052e-03 -4.93180240e-03 -3.70040396e-03 -3.47932102e-03
 -4.60404530e-03 -3.81447957e-03 -3.79798468e-03 -3.35327815e-03
 -4.84456681e-03 -3.14659160e-03 -2.62740534e-03 -2.93655973e-03
  1.38468284e-04 -2.60202377e-03 -4.61303024e-03 -3.43756657e-03
  5.04808268e-04 -3.36862681e-03 -3.27958027e-03 -1.51840664e-04]","[ 2.1072646e-04  5.9132650e-03 -1.3461397e-03  2.2835243e-03
  2.0537451e-03  4.4795405e-03  4.2039570e-03  3.2869561e-03
  4.2111982e-04 -9.4321417e-04 -1.6120797e-03 -6.1800214e-04
 -2.9921765e-03 -1.2983107e-03  2.2382438e-03  1.3614221e-03
  1.4329234e-03 -2.3179483e-03 -5.9477997e-04  1.1983288e-03
  2.5507342e-03  1.6192726e-03 -1.3539693e-03  2.3478772e-03
  3.3775866e-03  2.2234279e-03  1.7743483e-04 -6.3536502e-04
 -2.1245405e-03 -1.2817694e-03  2.6560505e-04 -3.5483567e-03
  4.0009874e-04  6.0309330e-04 -1.3007378e-04  4.5289940e-04
  6.5481255e-04 -1.6097302e-04  3.5166382e-04  6.4368435e-04
  6.7485817e-04 -6.6014160e-05  3.5121493e-04  2.2607618e-03
  6.6566333e-04  4.1779836e-05  1.5831299e-04 -1.0315670e-03
 -2.1037851e-03 -1.8829633e-04 -3.0030485e-04  6.4804230e-04
  9.2980580e-04  5.5458921e-04 -7.9644966e-04 -5.4554890e-05
 -3.5586164e-04 -4.7991911e-04 -7.0104760e-04  2.7107255e-04
 -2.0279314e-05 -5.1565748e-04  7.7300181e-04 -2.7023233e-04
 -2.4936835e-03  1.7165091e-02 -5.5078343e-03  3.4754490e-03
  1.2474239e-02  1.6246382e-02  7.4246982e-03  1.1770545e-02
  1.2321980e-03 -2.2244442e-04 -6.3383901e-03 -5.4748859e-03
 -8.8872388e-03 -3.1727273e-03  6.8035973e-03 -6.7436141e-03
  5.3206049e-03 -6.9428291e-03 -4.7922041e-03  4.8976056e-03
  3.4021125e-03  2.4500755e-03 -7.7792387e-03  6.4625181e-03
  9.0516256e-03  3.6114382e-03  2.0630336e-03 -3.0443915e-03
 -8.2631260e-03 -5.5676196e-03 -2.2140322e-03 -7.2560469e-03
  1.4773731e-03  5.8106976e-03  3.2992515e-04  5.7410169e-03
  3.5808086e-03  7.0175612e-03  3.7554302e-03  4.8336936e-03
  1.3070330e-03 -1.6128042e-03 -9.5963042e-04 -8.7105785e-04
 -4.9109599e-03 -2.5201257e-04  3.5510757e-03 -3.9493865e-03
  2.3784586e-03 -2.1179006e-03 -1.2510930e-03  2.8842352e-03
  1.4832751e-03 -1.8190176e-04 -4.1908841e-03  4.1670827e-03
  2.3582939e-03  2.6802651e-03 -3.7040550e-04  8.7606069e-04
 -3.3452273e-03 -2.0951759e-03  5.1591767e-04  5.3720061e-05]",,298728,audio/signals_f,,
0.0,0.0,,17,,,,,,0.0,298730,geometry/pose_raw,96.19937133789062,0.0
0.0,0.0,,18,,,,,,0.0,298740,geometry/pose_raw,96.19876861572266,0.0
0.0,0.0,,19,,,,,,0.0,298750,geometry/pose_raw,96.19927978515625,0.0
0.0,0.0,,20,,,,,,0.0,298763,geometry/pose_raw,96.19859313964844,0.0
0.0,0.0,,21,,,,,,0.0,298771,geometry/pose_raw,96.19921112060547,0.0
0.0,0.0,,22,,,,,,0.0,298780,geometry/pose_raw,96.19940948486328,0.0
0.0,0.0,,23,,,,,,0.0,298791,geometry/pose_raw,96.19882202148438,0.0
0.0,0.0,,24,,,,,,0.0,298800,geometry/pose_raw,96.1990737915039,0.0
0.0,0.0,,25,,,,,,0.0,298811,geometry/pose_raw,96.1998519897461,0.0
0.0,0.0,,26,,,,,,0.0,298820,geometry/pose_raw,96.20040893554688,0.0
0.0,0.0,,27,,,,,,0.0,298835,geometry/pose_raw,96.19951629638672,0.0
0.0,0.0,,28,,,,,,0.0,298843,geometry/pose_raw,96.20010375976562,0.0
