dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
0.0,0.0,,11,,,,,,0.0,153026,geometry/pose_raw,-3.622650623321533,0.0
0.0,0.0,,12,,,,,,0.0,153040,geometry/pose_raw,-3.6227376461029053,0.0
0.0,0.0,,13,,,,,,0.0,153048,geometry/pose_raw,-3.623117208480835,0.0
0.0,0.0,,14,,,,,,0.0,153056,geometry/pose_raw,-3.6222121715545654,0.0
0.0,0.0,,15,,,,,,0.0,153068,geometry/pose_raw,-3.6223719120025635,0.0
,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",16,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 1.1055507e-03  2.4775083e-03 -8.1593805e-04 -9.2589853e-06
  3.6397344e-04 -6.1392522e-04  8.0443540e-04 -5.0381641e-07
  2.1868110e-04 -3.4566910e-05 -5.5619510e-04 -1.6226190e-04
 -5.4069853e-04  2.4285846e-04 -7.8565028e-04 -1.3069483e-04
  7.6663948e-04  4.4026997e-04  4.0926569e-04 -2.1151476e-05
  7.9973135e-04  5.7883095e-04  2.7171025e-04 -6.3399156e-04
  4.2810971e-05  7.6744711e-04  3.3305434e-04  2.4507302e-05
  3.7872369e-04 -9.0784335e-05 -3.1289781e-04 -4.2543208e-05
  1.6033788e-03  1.5390288e-03 -1.1253861e-04  1.7121260e-04
  9.3993847e-04  6.9767487e-04 -4.3975678e-04  2.7055992e-04
 -5.0618500e-04  1.1449076e-04  3.1586259e-04  2.3488075e-04
 -3.5371818e-04 -2.5803043e-04  6.7995908e-04  3.4719173e-04
  1.7712265e-04 -4.3686632e-05 -3.8677754e-06  2.3068162e-05
  4.3292492e-04 -9.4092090e-04  3.5316002e-04  2.8045304e-04
  4.8099010e-04  7.7568018e-04  3.2568615e-04 -1.6906470e-04
  4.2207344e-04 -2.2641235e-04  1.3174473e-04 -3.4111954e-04
  3.8321799e-04  1.8468798e-03 -2.0997864e-03  4.6691150e-04
 -8.9560007e-04 -2.8703359e-03  1.9432004e-03 -5.1591895e-04
  2.0125817e-04 -7.6929573e-04 -3.5787156e-04  9.7388017e-04
  4.7695788e-04 -8.0464687e-04 -4.6088488e-04 -5.6446518e-04
  3.8243108e-04 -5.4518966e-04  3.1839769e-05 -1.2805504e-03
  5.3746378e-05 -5.4954865e-04  3.4909759e-04 -1.0369534e-03
  9.4566075e-04 -5.6764868e-04 -6.1015738e-04  1.9827732e-04
 -4.1256455e-05 -2.4780695e-04  4.0017953e-04 -1.5911991e-04
  4.8188982e-03  1.9848826e-03  2.3875991e-04  1.4915206e-03
  1.1214645e-03 -4.6649453e-05  1.9962764e-03  3.0022408e-04
  1.4058871e-03 -2.3471835e-04  9.2428608e-04  4.5221963e-04
  7.5221190e-04  2.3893417e-04  8.4460567e-04 -7.5923948e-04
  6.1465288e-04  2.9078830e-04 -4.2947056e-04  2.2094848e-04
 -5.5170472e-05  1.8024942e-04  3.5163696e-04 -1.3009052e-03
 -1.3588049e-04  3.8612771e-04 -4.3888774e-04 -3.5390223e-04
  6.6805209e-05  1.6342431e-04 -1.2174110e-04 -6.9077581e-04]","[-2.2250211e-05  2.1952853e-04 -7.2740758e-04  5.1715208e-04
  1.6051445e-03  9.0952998e-04  3.3440592e-04 -7.9523737e-04
  1.9776847e-04  7.6821004e-04  3.7979748e-04 -5.0028320e-04
  4.3064912e-04 -2.4021073e-04  6.9082729e-05 -6.5815152e-04
  6.0857931e-04  3.2535981e-04  2.4075931e-04 -2.3384861e-04
 -5.7689927e-04  2.2603675e-05  5.4384756e-04 -8.7509333e-04
  3.9595438e-04  2.9191177e-04  4.0272705e-04 -2.4607201e-04
  1.7029430e-05 -5.9827836e-04 -3.8541891e-04  9.2429656e-04
 -1.1099122e-03  1.0972603e-03  1.4236743e-03  2.1030434e-04
  5.4271624e-04  4.3736715e-04 -3.1406424e-04 -1.0522833e-04
  4.3243542e-04 -1.4169217e-04  7.6580996e-05 -2.2579150e-04
 -9.2458373e-05  5.1722256e-04 -1.2686270e-03  1.3700563e-05
 -2.6212423e-04 -8.3892264e-05  3.1909437e-04 -4.0085299e-04
  2.4691605e-04 -1.1085111e-05  3.0033430e-04  4.4281456e-05
 -2.1979878e-04 -7.9098929e-05 -4.7159629e-05  3.7172274e-04
  3.4604396e-04  2.7429708e-04  9.0621237e-05 -5.6371005e-04
 -1.0784665e-02 -1.1309216e-03 -6.8421620e-03  2.1883920e-05
  3.2368205e-03  4.9919779e-03 -9.0271176e-04 -1.0870348e-03
  8.7091478e-04  4.6698656e-04  1.0277340e-03  7.9717138e-05
 -9.5230504e-04  1.2908787e-03  7.2619447e-04  3.3146888e-04
 -7.6473958e-04 -5.3698086e-04 -5.1876099e-04 -2.6133814e-04
  5.7688548e-04 -5.2716985e-04  2.7029112e-04 -9.5854339e-04
 -9.4106671e-04  2.5549106e-04  6.5821747e-05 -3.6293373e-04
  2.4022697e-04  4.9611938e-04  3.3014955e-04  1.5117727e-04
 -7.9858107e-03  1.9255751e-03 -2.5500332e-03  9.9401304e-04
  1.1911027e-03  2.3732479e-03 -9.1147132e-04 -1.9384123e-04
 -5.0387194e-04  1.2392757e-03 -4.6714797e-04 -5.7528826e-04
 -6.6599657e-04  7.6493178e-04  4.5313395e-04  5.2503528e-05
 -5.7735620e-04  6.4161571e-04  2.8981059e-04  3.4029127e-04
 -4.4713198e-04  1.3468145e-04  2.0866218e-04 -6.3055806e-05
 -1.0461973e-03 -4.1176425e-04 -4.3036343e-04  2.0299197e-04
  6.0007056e-05 -5.7422620e-04 -4.3186257e-04 -1.5609671e-04]",,153069,audio/signals_f,,
0.0,0.0,,17,,,,,,0.0,153083,geometry/pose_raw,-3.622934103012085,0.0
0.0,0.0,,18,,,,,,0.0,153091,geometry/pose_raw,-3.622746229171753,0.0
0.0,0.0,,19,,,,,,0.0,153098,geometry/pose_raw,-3.621742010116577,0.0
0.0,0.0,,20,,,,,,0.0,153108,geometry/pose_raw,-3.6218600273132324,0.0
0.0,0.0,,21,,,,,,0.0,153116,geometry/pose_raw,-3.6236376762390137,0.0
0.0,0.0,,22,,,,,,0.0,153129,geometry/pose_raw,-3.624744176864624,0.0
0.0,0.0,,23,,,,,,0.0,153136,geometry/pose_raw,-3.626286268234253,0.0
0.0,0.0,,24,,,,,,0.0,153148,geometry/pose_raw,-3.6252763271331787,0.0
0.0,0.0,,25,,,,,,0.0,153159,geometry/pose_raw,-3.6249706745147705,0.0
0.0,0.0,,26,,,,,,0.0,153166,geometry/pose_raw,-3.62449049949646,0.0
0.0,0.0,,27,,,,,,0.0,153175,geometry/pose_raw,-3.6249606609344482,0.0
0.0,0.0,,28,,,,,,0.0,153185,geometry/pose_raw,-3.624724864959717,0.0
,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",29,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 1.1055507e-03  2.4775083e-03 -8.1593805e-04 -9.2589853e-06
  3.6397344e-04 -6.1392522e-04  8.0443540e-04 -5.0381641e-07
  2.1868110e-04 -3.4566910e-05 -5.5619510e-04 -1.6226190e-04
 -5.4069853e-04  2.4285846e-04 -7.8565028e-04 -1.3069483e-04
  7.6663948e-04  4.4026997e-04  4.0926569e-04 -2.1151476e-05
  7.9973135e-04  5.7883095e-04  2.7171025e-04 -6.3399156e-04
  4.2810971e-05  7.6744711e-04  3.3305434e-04  2.4507302e-05
  3.7872369e-04 -9.0784335e-05 -3.1289781e-04 -4.2543208e-05
  1.6033788e-03  1.5390288e-03 -1.1253861e-04  1.7121260e-04
  9.3993847e-04  6.9767487e-04 -4.3975678e-04  2.7055992e-04
 -5.0618500e-04  1.1449076e-04  3.1586259e-04  2.3488075e-04
 -3.5371818e-04 -2.5803043e-04  6.7995908e-04  3.4719173e-04
  1.7712265e-04 -4.3686632e-05 -3.8677754e-06  2.3068162e-05
  4.3292492e-04 -9.4092090e-04  3.5316002e-04  2.8045304e-04
  4.8099010e-04  7.7568018e-04  3.2568615e-04 -1.6906470e-04
  4.2207344e-04 -2.2641235e-04  1.3174473e-04 -3.4111954e-04
  3.8321799e-04  1.8468798e-03 -2.0997864e-03  4.6691150e-04
 -8.9560007e-04 -2.8703359e-03  1.9432004e-03 -5.1591895e-04
  2.0125817e-04 -7.6929573e-04 -3.5787156e-04  9.7388017e-04
  4.7695788e-04 -8.0464687e-04 -4.6088488e-04 -5.6446518e-04
  3.8243108e-04 -5.4518966e-04  3.1839769e-05 -1.2805504e-03
  5.3746378e-05 -5.4954865e-04  3.4909759e-04 -1.0369534e-03
  9.4566075e-04 -5.6764868e-04 -6.1015738e-04  1.9827732e-04
 -4.1256455e-05 -2.4780695e-04  4.0017953e-04 -1.5911991e-04
  4.8188982e-03  1.9848826e-03  2.3875991e-04  1.4915206e-03
  1.1214645e-03 -4.6649453e-05  1.9962764e-03  3.0022408e-04
  1.4058871e-03 -2.3471835e-04  9.2428608e-04  4.5221963e-04
  7.5221190e-04  2.3893417e-04  8.4460567e-04 -7.5923948e-04
  6.1465288e-04  2.9078830e-04 -4.2947056e-04  2.2094848e-04
 -5.5170472e-05  1.8024942e-04  3.5163696e-04 -1.3009052e-03
 -1.3588049e-04  3.8612771e-04 -4.3888774e-04 -3.5390223e-04
  6.6805209e-05  1.6342431e-04 -1.2174110e-04 -6.9077581e-04]","[-2.2250211e-05  2.1952853e-04 -7.2740758e-04  5.1715208e-04
  1.6051445e-03  9.0952998e-04  3.3440592e-04 -7.9523737e-04
  1.9776847e-04  7.6821004e-04  3.7979748e-04 -5.0028320e-04
  4.3064912e-04 -2.4021073e-04  6.9082729e-05 -6.5815152e-04
  6.0857931e-04  3.2535981e-04  2.4075931e-04 -2.3384861e-04
 -5.7689927e-04  2.2603675e-05  5.4384756e-04 -8.7509333e-04
  3.9595438e-04  2.9191177e-04  4.0272705e-04 -2.4607201e-04
  1.7029430e-05 -5.9827836e-04 -3.8541891e-04  9.2429656e-04
 -1.1099122e-03  1.0972603e-03  1.4236743e-03  2.1030434e-04
  5.4271624e-04  4.3736715e-04 -3.1406424e-04 -1.0522833e-04
  4.3243542e-04 -1.4169217e-04  7.6580996e-05 -2.2579150e-04
 -9.2458373e-05  5.1722256e-04 -1.2686270e-03  1.3700563e-05
 -2.6212423e-04 -8.3892264e-05  3.1909437e-04 -4.0085299e-04
  2.4691605e-04 -1.1085111e-05  3.0033430e-04  4.4281456e-05
 -2.1979878e-04 -7.9098929e-05 -4.7159629e-05  3.7172274e-04
  3.4604396e-04  2.7429708e-04  9.0621237e-05 -5.6371005e-04
 -1.0784665e-02 -1.1309216e-03 -6.8421620e-03  2.1883920e-05
  3.2368205e-03  4.9919779e-03 -9.0271176e-04 -1.0870348e-03
  8.7091478e-04  4.6698656e-04  1.0277340e-03  7.9717138e-05
 -9.5230504e-04  1.2908787e-03  7.2619447e-04  3.3146888e-04
 -7.6473958e-04 -5.3698086e-04 -5.1876099e-04 -2.6133814e-04
  5.7688548e-04 -5.2716985e-04  2.7029112e-04 -9.5854339e-04
 -9.4106671e-04  2.5549106e-04  6.5821747e-05 -3.6293373e-04
  2.4022697e-04  4.9611938e-04  3.3014955e-04  1.5117727e-04
 -7.9858107e-03  1.9255751e-03 -2.5500332e-03  9.9401304e-04
  1.1911027e-03  2.3732479e-03 -9.1147132e-04 -1.9384123e-04
 -5.0387194e-04  1.2392757e-03 -4.6714797e-04 -5.7528826e-04
 -6.6599657e-04  7.6493178e-04  4.5313395e-04  5.2503528e-05
 -5.7735620e-04  6.4161571e-04  2.8981059e-04  3.4029127e-04
 -4.4713198e-04  1.3468145e-04  2.0866218e-04 -6.3055806e-05
 -1.0461973e-03 -4.1176425e-04 -4.3036343e-04  2.0299197e-04
  6.0007056e-05 -5.7422620e-04 -4.3186257e-04 -1.5609671e-04]",,153192,audio/signals_f,,
0.0,0.0,,30,,,,,,0.0,153198,geometry/pose_raw,-3.626035690307617,0.0
0.0,0.0,,31,,,,,,0.0,153214,geometry/pose_raw,-3.6258039474487305,0.0
0.0,0.0,,32,,,,,,0.0,153222,geometry/pose_raw,-3.625947952270508,0.0
0.0,0.0,,33,,,,,,0.0,153228,geometry/pose_raw,-3.6264772415161133,0.0
0.0,0.0,,34,,,,,,0.0,153236,geometry/pose_raw,-3.6261303424835205,0.0
0.0,0.0,,35,,,,,,0.0,153248,geometry/pose_raw,-3.6254990100860596,0.0
0.0,0.0,,36,,,,,,0.0,153256,geometry/pose_raw,-3.6255619525909424,0.0
0.0,0.0,,37,,,,,,0.0,153266,geometry/pose_raw,-3.62705135345459,0.0
0.0,0.0,,38,,,,,,0.0,153276,geometry/pose_raw,-3.6270527839660645,0.0
0.0,0.0,,39,,,,,,0.0,153286,geometry/pose_raw,-3.627276659011841,0.0
0.0,0.0,,40,,,,,,0.0,153297,geometry/pose_raw,-3.6270534992218018,0.0
,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",41,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 1.1055507e-03  2.4775083e-03 -8.1593805e-04 -9.2589853e-06
  3.6397344e-04 -6.1392522e-04  8.0443540e-04 -5.0381641e-07
  2.1868110e-04 -3.4566910e-05 -5.5619510e-04 -1.6226190e-04
 -5.4069853e-04  2.4285846e-04 -7.8565028e-04 -1.3069483e-04
  7.6663948e-04  4.4026997e-04  4.0926569e-04 -2.1151476e-05
  7.9973135e-04  5.7883095e-04  2.7171025e-04 -6.3399156e-04
  4.2810971e-05  7.6744711e-04  3.3305434e-04  2.4507302e-05
  3.7872369e-04 -9.0784335e-05 -3.1289781e-04 -4.2543208e-05
  1.6033788e-03  1.5390288e-03 -1.1253861e-04  1.7121260e-04
  9.3993847e-04  6.9767487e-04 -4.3975678e-04  2.7055992e-04
 -5.0618500e-04  1.1449076e-04  3.1586259e-04  2.3488075e-04
 -3.5371818e-04 -2.5803043e-04  6.7995908e-04  3.4719173e-04
  1.7712265e-04 -4.3686632e-05 -3.8677754e-06  2.3068162e-05
  4.3292492e-04 -9.4092090e-04  3.5316002e-04  2.8045304e-04
  4.8099010e-04  7.7568018e-04  3.2568615e-04 -1.6906470e-04
  4.2207344e-04 -2.2641235e-04  1.3174473e-04 -3.4111954e-04
  3.8321799e-04  1.8468798e-03 -2.0997864e-03  4.6691150e-04
 -8.9560007e-04 -2.8703359e-03  1.9432004e-03 -5.1591895e-04
  2.0125817e-04 -7.6929573e-04 -3.5787156e-04  9.7388017e-04
  4.7695788e-04 -8.0464687e-04 -4.6088488e-04 -5.6446518e-04
  3.8243108e-04 -5.4518966e-04  3.1839769e-05 -1.2805504e-03
  5.3746378e-05 -5.4954865e-04  3.4909759e-04 -1.0369534e-03
  9.4566075e-04 -5.6764868e-04 -6.1015738e-04  1.9827732e-04
 -4.1256455e-05 -2.4780695e-04  4.0017953e-04 -1.5911991e-04
  4.8188982e-03  1.9848826e-03  2.3875991e-04  1.4915206e-03
  1.1214645e-03 -4.6649453e-05  1.9962764e-03  3.0022408e-04
  1.4058871e-03 -2.3471835e-04  9.2428608e-04  4.5221963e-04
  7.5221190e-04  2.3893417e-04  8.4460567e-04 -7.5923948e-04
  6.1465288e-04  2.9078830e-04 -4.2947056e-04  2.2094848e-04
 -5.5170472e-05  1.8024942e-04  3.5163696e-04 -1.3009052e-03
 -1.3588049e-04  3.8612771e-04 -4.3888774e-04 -3.5390223e-04
  6.6805209e-05  1.6342431e-04 -1.2174110e-04 -6.9077581e-04]","[-2.2250211e-05  2.1952853e-04 -7.2740758e-04  5.1715208e-04
  1.6051445e-03  9.0952998e-04  3.3440592e-04 -7.9523737e-04
  1.9776847e-04  7.6821004e-04  3.7979748e-04 -5.0028320e-04
  4.3064912e-04 -2.4021073e-04  6.9082729e-05 -6.5815152e-04
  6.0857931e-04  3.2535981e-04  2.4075931e-04 -2.3384861e-04
 -5.7689927e-04  2.2603675e-05  5.4384756e-04 -8.7509333e-04
  3.9595438e-04  2.9191177e-04  4.0272705e-04 -2.4607201e-04
  1.7029430e-05 -5.9827836e-04 -3.8541891e-04  9.2429656e-04
 -1.1099122e-03  1.0972603e-03  1.4236743e-03  2.1030434e-04
  5.4271624e-04  4.3736715e-04 -3.1406424e-04 -1.0522833e-04
  4.3243542e-04 -1.4169217e-04  7.6580996e-05 -2.2579150e-04
 -9.2458373e-05  5.1722256e-04 -1.2686270e-03  1.3700563e-05
 -2.6212423e-04 -8.3892264e-05  3.1909437e-04 -4.0085299e-04
  2.4691605e-04 -1.1085111e-05  3.0033430e-04  4.4281456e-05
 -2.1979878e-04 -7.9098929e-05 -4.7159629e-05  3.7172274e-04
  3.4604396e-04  2.7429708e-04  9.0621237e-05 -5.6371005e-04
 -1.0784665e-02 -1.1309216e-03 -6.8421620e-03  2.1883920e-05
  3.2368205e-03  4.9919779e-03 -9.0271176e-04 -1.0870348e-03
  8.7091478e-04  4.6698656e-04  1.0277340e-03  7.9717138e-05
 -9.5230504e-04  1.2908787e-03  7.2619447e-04  3.3146888e-04
 -7.6473958e-04 -5.3698086e-04 -5.1876099e-04 -2.6133814e-04
  5.7688548e-04 -5.2716985e-04  2.7029112e-04 -9.5854339e-04
 -9.4106671e-04  2.5549106e-04  6.5821747e-05 -3.6293373e-04
  2.4022697e-04  4.9611938e-04  3.3014955e-04  1.5117727e-04
 -7.9858107e-03  1.9255751e-03 -2.5500332e-03  9.9401304e-04
  1.1911027e-03  2.3732479e-03 -9.1147132e-04 -1.9384123e-04
 -5.0387194e-04  1.2392757e-03 -4.6714797e-04 -5.7528826e-04
 -6.6599657e-04  7.6493178e-04  4.5313395e-04  5.2503528e-05
 -5.7735620e-04  6.4161571e-04  2.8981059e-04  3.4029127e-04
 -4.4713198e-04  1.3468145e-04  2.0866218e-04 -6.3055806e-05
 -1.0461973e-03 -4.1176425e-04 -4.3036343e-04  2.0299197e-04
  6.0007056e-05 -5.7422620e-04 -4.3186257e-04 -1.5609671e-04]",,153303,audio/signals_f,,
0.0,0.0,,42,,,,,,0.0,153308,geometry/pose_raw,-3.6277267932891846,0.0
0.0,0.0,,43,,,,,,0.0,153316,geometry/pose_raw,-3.627915620803833,0.0
0.0,0.0,,44,,,,,,0.0,153326,geometry/pose_raw,-3.6287410259246826,0.0
0.0,0.0,,45,,,,,,0.0,153344,geometry/pose_raw,-3.6287453174591064,0.0
0.0,0.0,,46,,,,,,0.0,153355,geometry/pose_raw,-3.629390239715576,0.0
0.0,0.0,,47,,,,,,0.0,153362,geometry/pose_raw,-3.630434513092041,0.0
0.0,0.0,,48,,,,,,0.0,153369,geometry/pose_raw,-3.6304965019226074,0.0
0.0,0.0,,49,,,,,,0.0,153377,geometry/pose_raw,-3.631363868713379,0.0
0.0,0.0,,50,,,,,,0.0,153386,geometry/pose_raw,-3.631088972091675,0.0
0.0,0.0,,51,,,,,,0.0,153398,geometry/pose_raw,-3.6302411556243896,0.0
0.0,0.0,,52,,,,,,0.0,153407,geometry/pose_raw,-3.629714012145996,0.0
0.0,0.0,,53,,,,,,0.0,153417,geometry/pose_raw,-3.630173683166504,0.0
