dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
,,"[218 328 265 203 187 250 234 312 281 343 390 296 375 437 406 359 421 453
 468 515 546 531 500 484 562 640 625 609 687 578 593 656]",21,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 3.45207691e-01 -9.52740014e-02  4.91783284e-02 -1.26142725e-01
  4.22460847e-02  2.38532946e-02  6.06784318e-03  1.02784321e-01
  5.91024980e-02 -8.73460472e-02 -1.83525085e-02  8.72046649e-02
 -2.82677729e-03 -6.78027049e-02  3.51939490e-03 -4.32691090e-02
  8.43588039e-02 -3.24153565e-02 -1.48706380e-02 -1.64287314e-02
 -2.46524177e-02  1.59249324e-02 -1.07014710e-02 -1.01105552e-02
 -3.14298086e-03 -4.80097625e-03 -1.39144417e-02 -1.64528959e-03
  6.70583360e-03  3.35702556e-03 -1.99186208e-04 -1.16250152e-02
  5.17054386e-02  3.83218490e-02 -2.80403215e-02  7.97302127e-02
  5.10366447e-02 -1.02230962e-02  2.52393708e-02  4.80923876e-02
  2.07175259e-02  1.11222137e-02  2.38053836e-02  5.15262000e-02
  8.59543867e-03  1.56145561e-02  2.44403407e-02 -1.52906636e-02
  2.77288351e-02  5.17537910e-03  5.86947426e-03  1.62771214e-02
  1.21958461e-02  1.23769315e-02  1.10513847e-02  1.34355733e-02
  8.34067259e-03  9.32596624e-03  1.88704338e-02  1.30218063e-02
  1.03689134e-02  1.13507435e-02  6.59895502e-03  1.10910479e-02
  4.49674726e-02  3.85395139e-02  9.26526412e-02  4.82328311e-02
  1.17190197e-01 -1.03915215e-01  7.66412495e-03  4.73109484e-02
  8.27438906e-02  1.17387925e-03  2.68799160e-02  3.78073044e-02
  2.44509820e-02  2.80679911e-02  1.72054432e-02  3.95509712e-02
  1.79808997e-02  1.50037277e-02  2.01459266e-02  2.91886963e-02
  1.22221578e-02  1.64542776e-02  3.28688361e-02  2.33768560e-02
  1.99664924e-02  1.96809936e-02 -4.45007021e-03  1.15334326e-02
  2.61628348e-02  2.09945254e-02  2.47668917e-03  1.42998039e-03
 -8.43782544e-01 -4.13749725e-01  3.83802019e-02  4.33979481e-02
  2.93928031e-02  7.60633796e-02  2.02805221e-01 -6.40627444e-02
  3.80480438e-02  4.57580090e-02 -4.73740213e-02  6.92208437e-03
  8.45929086e-02 -8.13992172e-02  1.53129436e-02  1.68350879e-02
 -5.66516118e-03 -5.10562118e-03  3.56191359e-02  2.53869016e-02
  1.25062894e-02  1.30254112e-03  3.09664048e-02  3.08302417e-02
  1.30363321e-02  1.06265247e-02  6.77631516e-03  1.17553780e-02
  1.59368422e-02  1.42939296e-02  1.01120118e-02  2.29571965e-02]","[ 0.532546    0.21692581  0.02828318 -0.20684394 -0.09343219  0.09659471
  0.19124022 -0.12316249  0.06125726  0.05113634  0.03794967  0.02268142
  0.04017566  0.03604473  0.05630127  0.03197999  0.02303708 -0.0162325
 -0.01311163  0.01591018 -0.00459511  0.04248291  0.00315432 -0.00332036
 -0.01255551  0.01618197 -0.00372393 -0.00774314 -0.00128233 -0.00230631
 -0.0014782   0.00098529 -0.05862415 -0.02900231  0.13938724 -0.0889423
 -0.31816304 -0.00639839 -0.03855632 -0.02845678 -0.10856216 -0.02648394
 -0.02351374 -0.04588857 -0.03623872 -0.01953056 -0.00965542  0.05600856
 -0.0118573   0.01767031 -0.01187932 -0.01006793  0.00411242 -0.01180525
 -0.00666088 -0.0072591  -0.00134086 -0.00289374 -0.00513056 -0.00397165
 -0.0048422  -0.00782927 -0.00548217 -0.00346363 -0.00797651 -0.00224758
 -0.05802564 -0.00641401 -0.02422109  0.03489797 -0.02448559  0.0170017
  0.01724619 -0.03622829 -0.00891989 -0.00113832 -0.00641974  0.00286484
 -0.00632532 -0.02430079  0.01347305 -0.00530528 -0.00256     0.01335776
 -0.00700523 -0.00141892  0.00188819 -0.00680777 -0.0112857   0.00978919
  0.0049391  -0.00698538 -0.00417924  0.00114364  0.0073699   0.02109504
 -0.5373791   0.11248796 -0.00058867 -0.18675712 -0.04833789  0.00101642
 -0.1243505  -0.10115709 -0.00951194 -0.13877848 -0.05378851 -0.02759825
  0.05840904  0.08891614 -0.02998922  0.01077384 -0.03851088 -0.07886973
 -0.02450677  0.00156703  0.04579361  0.01101234 -0.00380404 -0.00770117
 -0.01179335  0.01155458  0.00269064 -0.00558795 -0.01087518  0.00909925
 -0.00850682  0.0136768 ]",,500520,audio/signals_f,,
0.0,0.0,,22,,,,,,0.0,500524,geometry/pose_raw,98.57414245605469,0.0
0.0,0.0,,23,,,,,,0.0,500531,geometry/pose_raw,98.57470703125,0.0
0.0,0.0,,24,,,,,,0.0,500540,geometry/pose_raw,98.57392120361328,0.0
0.0,0.0,,25,,,,,,0.0,500549,geometry/pose_raw,98.57453918457031,0.0
0.0,0.0,,26,,,,,,0.0,500560,geometry/pose_raw,98.57644653320312,0.0
0.0,0.0,,27,,,,,,0.0,500569,geometry/pose_raw,98.57453155517578,0.0
0.0,0.0,,28,,,,,,0.0,500578,geometry/pose_raw,98.57514953613281,0.0
0.0,0.0,,29,,,,,,0.0,500590,geometry/pose_raw,98.57595825195312,0.0
0.0,0.0,,30,,,,,,0.0,500604,geometry/pose_raw,98.57674407958984,0.0
0.0,0.0,,31,,,,,,0.0,500609,geometry/pose_raw,98.57633972167969,0.0
0.0,0.0,,32,,,,,,0.0,500620,geometry/pose_raw,98.57523345947266,0.0
,,"[218 328 265 203 187 250 234 312 281 343 390 296 375 437 406 359 421 453
 468 515 546 531 500 484 562 640 625 609 687 578 593 656]",33,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 3.45207691e-01 -9.52740014e-02  4.91783284e-02 -1.26142725e-01
  4.22460847e-02  2.38532946e-02  6.06784318e-03  1.02784321e-01
  5.91024980e-02 -8.73460472e-02 -1.83525085e-02  8.72046649e-02
 -2.82677729e-03 -6.78027049e-02  3.51939490e-03 -4.32691090e-02
  8.43588039e-02 -3.24153565e-02 -1.48706380e-02 -1.64287314e-02
 -2.46524177e-02  1.59249324e-02 -1.07014710e-02 -1.01105552e-02
 -3.14298086e-03 -4.80097625e-03 -1.39144417e-02 -1.64528959e-03
  6.70583360e-03  3.35702556e-03 -1.99186208e-04 -1.16250152e-02
  5.17054386e-02  3.83218490e-02 -2.80403215e-02  7.97302127e-02
  5.10366447e-02 -1.02230962e-02  2.52393708e-02  4.80923876e-02
  2.07175259e-02  1.11222137e-02  2.38053836e-02  5.15262000e-02
  8.59543867e-03  1.56145561e-02  2.44403407e-02 -1.52906636e-02
  2.77288351e-02  5.17537910e-03  5.86947426e-03  1.62771214e-02
  1.21958461e-02  1.23769315e-02  1.10513847e-02  1.34355733e-02
  8.34067259e-03  9.32596624e-03  1.88704338e-02  1.30218063e-02
  1.03689134e-02  1.13507435e-02  6.59895502e-03  1.10910479e-02
  4.49674726e-02  3.85395139e-02  9.26526412e-02  4.82328311e-02
  1.17190197e-01 -1.03915215e-01  7.66412495e-03  4.73109484e-02
  8.27438906e-02  1.17387925e-03  2.68799160e-02  3.78073044e-02
  2.44509820e-02  2.80679911e-02  1.72054432e-02  3.95509712e-02
  1.79808997e-02  1.50037277e-02  2.01459266e-02  2.91886963e-02
  1.22221578e-02  1.64542776e-02  3.28688361e-02  2.33768560e-02
  1.99664924e-02  1.96809936e-02 -4.45007021e-03  1.15334326e-02
  2.61628348e-02  2.09945254e-02  2.47668917e-03  1.42998039e-03
 -8.43782544e-01 -4.13749725e-01  3.83802019e-02  4.33979481e-02
  2.93928031e-02  7.60633796e-02  2.02805221e-01 -6.40627444e-02
  3.80480438e-02  4.57580090e-02 -4.73740213e-02  6.92208437e-03
  8.45929086e-02 -8.13992172e-02  1.53129436e-02  1.68350879e-02
 -5.66516118e-03 -5.10562118e-03  3.56191359e-02  2.53869016e-02
  1.25062894e-02  1.30254112e-03  3.09664048e-02  3.08302417e-02
  1.30363321e-02  1.06265247e-02  6.77631516e-03  1.17553780e-02
  1.59368422e-02  1.42939296e-02  1.01120118e-02  2.29571965e-02]","[ 0.532546    0.21692581  0.02828318 -0.20684394 -0.09343219  0.09659471
  0.19124022 -0.12316249  0.06125726  0.05113634  0.03794967  0.02268142
  0.04017566  0.03604473  0.05630127  0.03197999  0.02303708 -0.0162325
 -0.01311163  0.01591018 -0.00459511  0.04248291  0.00315432 -0.00332036
 -0.01255551  0.01618197 -0.00372393 -0.00774314 -0.00128233 -0.00230631
 -0.0014782   0.00098529 -0.05862415 -0.02900231  0.13938724 -0.0889423
 -0.31816304 -0.00639839 -0.03855632 -0.02845678 -0.10856216 -0.02648394
 -0.02351374 -0.04588857 -0.03623872 -0.01953056 -0.00965542  0.05600856
 -0.0118573   0.01767031 -0.01187932 -0.01006793  0.00411242 -0.01180525
 -0.00666088 -0.0072591  -0.00134086 -0.00289374 -0.00513056 -0.00397165
 -0.0048422  -0.00782927 -0.00548217 -0.00346363 -0.00797651 -0.00224758
 -0.05802564 -0.00641401 -0.02422109  0.03489797 -0.02448559  0.0170017
  0.01724619 -0.03622829 -0.00891989 -0.00113832 -0.00641974  0.00286484
 -0.00632532 -0.02430079  0.01347305 -0.00530528 -0.00256     0.01335776
 -0.00700523 -0.00141892  0.00188819 -0.00680777 -0.0112857   0.00978919
  0.0049391  -0.00698538 -0.00417924  0.00114364  0.0073699   0.02109504
 -0.5373791   0.11248796 -0.00058867 -0.18675712 -0.04833789  0.00101642
 -0.1243505  -0.10115709 -0.00951194 -0.13877848 -0.05378851 -0.02759825
  0.05840904  0.08891614 -0.02998922  0.01077384 -0.03851088 -0.07886973
 -0.02450677  0.00156703  0.04579361  0.01101234 -0.00380404 -0.00770117
 -0.01179335  0.01155458  0.00269064 -0.00558795 -0.01087518  0.00909925
 -0.00850682  0.0136768 ]",,500638,audio/signals_f,,
0.0,0.0,,34,,,,,,0.0,500640,geometry/pose_raw,98.57476043701172,0.0
0.0,0.0,,35,,,,,,0.0,500647,geometry/pose_raw,98.57606506347656,0.0
0.0,0.0,,36,,,,,,0.0,500654,geometry/pose_raw,98.57612609863281,0.0
0.0,0.0,,37,,,,,,0.0,500660,geometry/pose_raw,98.57514953613281,0.0
0.0,0.0,,38,,,,,,0.0,500669,geometry/pose_raw,98.57460021972656,0.0
0.0,0.0,,39,,,,,,0.0,500681,geometry/pose_raw,98.57463836669922,0.0
0.0,0.0,,40,,,,,,0.0,500691,geometry/pose_raw,98.57523345947266,0.0
