dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,z
,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",22,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 1.31409112e-02  2.93273176e-03 -1.37574575e-03  2.63741094e-04
  3.33561283e-03 -6.69342699e-04  2.31188000e-03  8.77474784e-04
  9.19018639e-04  1.26518274e-03 -1.83503216e-04  3.90969624e-04
  7.57541100e-04  7.37124356e-05  5.29870158e-04  1.74195739e-05
  7.54705339e-04  5.24978095e-04  5.38524997e-04  1.42261968e-04
  7.87615369e-04  1.66850426e-04  1.00328680e-03  9.00466111e-05
 -2.77542014e-04  4.22594487e-04  5.42027410e-05  3.20693827e-04
  3.44277534e-04  9.26728389e-05 -5.32717095e-05  1.71872045e-04
  4.60740383e-04  2.04860605e-03  1.52635481e-03  1.21246476e-03
  3.88134678e-04  1.01193634e-03  1.95000903e-04  6.21489075e-04
  8.07680539e-04  1.11634916e-04  2.77950894e-04 -3.75511008e-04
  4.70754516e-04  6.68641762e-04  4.78368922e-04  3.13396216e-04
  6.59438447e-05  6.32553652e-04  3.10747506e-04 -4.53259418e-06
 -2.06905272e-04 -5.69176409e-05  7.09710293e-04  1.30311368e-04
 -5.51069388e-05  3.05024034e-04  3.37529171e-04 -1.01723708e-04
  4.11750894e-04 -1.07651373e-04  6.19772240e-04  1.42234931e-04
  1.91846173e-02  7.07924925e-03 -5.93299419e-03 -2.78747105e-03
  5.52772498e-03 -5.85122872e-03  2.65744701e-03 -2.34773324e-04
  1.52788626e-03  1.22915453e-03 -1.67359452e-04  4.81890398e-04
  1.34466507e-03  2.47860298e-04  3.75115749e-04  2.32416132e-04
 -5.75577549e-04 -1.17696894e-04 -1.47800165e-04  5.70342876e-04
 -3.77660821e-04  1.91613741e-04  3.62393213e-04  7.71245919e-04
  8.40814027e-05  3.44997417e-04 -1.08986496e-04  6.40947401e-05
  6.93463138e-04  7.77375011e-04  5.76489023e-04  3.83933424e-04
  1.41635630e-02  3.48965032e-03 -1.25961786e-03 -1.20100733e-04
  2.25967239e-03 -1.00780721e-03  1.59934571e-03  1.14857138e-03
  5.86573733e-04  8.29274533e-04  2.48059136e-04 -1.57933246e-05
  1.34040753e-03  1.41059179e-04 -2.90750351e-04  4.75566427e-04
  2.67254072e-04  4.35500784e-04  6.69018133e-04 -4.72643762e-04
  5.92129771e-04  1.35873022e-04  6.52806717e-04 -2.24976102e-05
  1.72881875e-04 -2.61983630e-04  1.01311351e-04  3.87817854e-04
  1.41977635e-03  4.59653180e-04  3.71092174e-04 -1.33006091e-04]","[ 2.38232804e-03 -1.86664611e-03  6.91863941e-04 -2.24891090e-04
 -1.33086415e-03  1.47408180e-04 -6.94698072e-04  3.97355412e-04
 -3.19740211e-04 -1.68057880e-03  2.82683177e-04 -2.95346836e-04
  7.37783033e-04 -3.95843148e-04 -2.71679077e-04  2.05689954e-04
  3.08030052e-04  3.20846448e-04 -5.40550507e-04 -1.59243849e-04
 -2.68785050e-04 -5.20742178e-05 -1.16664276e-04  2.16639673e-05
 -7.79355527e-04 -3.29396687e-04 -6.29479182e-04 -6.64351624e-04
 -8.61050852e-04 -2.81052518e-04  2.91085074e-04  1.95322311e-04
  2.72557558e-03 -1.46028178e-04  1.75435503e-04 -2.19155685e-04
  2.05689867e-05  4.71233943e-04 -8.89801959e-05 -1.46001199e-04
 -3.39344610e-04 -1.68817482e-04  4.67654900e-06 -3.56262928e-04
 -3.56606150e-04 -3.36383440e-04  8.66356422e-04  1.70153013e-04
 -1.88150065e-04 -3.09217838e-04  3.47356603e-04  6.49287467e-05
 -5.47477859e-04 -3.13263066e-04  3.82806029e-05  1.18437718e-04
 -3.98520147e-04  3.39625170e-04 -4.06982319e-04  6.84774132e-04
 -6.46392291e-05 -4.03281651e-04 -2.09771155e-04  1.83215816e-04
 -2.11734138e-03 -1.09044239e-02  3.35171912e-03  5.98362589e-04
 -1.90218515e-03 -8.82393681e-04 -1.18234474e-03  2.39844594e-04
 -1.13551551e-03 -1.06675108e-03 -5.20701113e-04 -1.47958193e-03
 -4.59394243e-04 -3.48833128e-04  2.36375403e-04 -2.69871147e-04
 -5.30916557e-04  4.95465880e-04  1.50029256e-04  2.05228556e-04
 -9.76613665e-05 -3.22029111e-04 -1.05864916e-03 -1.01960963e-04
  1.17938465e-03 -5.34958846e-04  8.88023642e-05 -2.10152401e-04
  6.09905517e-04  6.82814571e-04  2.06355653e-05 -8.70300937e-07
 -1.25139242e-03 -4.18093055e-03  1.95182289e-03 -1.13659562e-03
 -1.09213369e-03  9.49049834e-04 -9.52921575e-04 -3.94768664e-04
 -1.09867519e-03 -4.58819180e-04 -5.03644042e-05  5.73802463e-05
 -4.30671411e-04 -3.20036605e-04  5.44119859e-04 -1.84933684e-04
  1.90704654e-04 -5.64107089e-04  7.97801913e-05 -5.24070056e-04
  6.89415261e-04 -5.31390484e-04  8.98796134e-05  9.13799973e-04
 -1.17681320e-05 -2.04612355e-04 -1.18104741e-04 -4.47238999e-04
  3.89226334e-04  6.75121046e-05  4.21732955e-04  7.22500336e-05]",,211643,audio/signals_f,,
0.0,0.0,,23,,,,,,0.0,211656,geometry/pose_raw,-4.660129070281982,0.0
0.0,0.0,,24,,,,,,0.0,211669,geometry/pose_raw,-4.65962553024292,0.0
0.0,0.0,,25,,,,,,0.0,211676,geometry/pose_raw,-4.6601433753967285,0.0
0.0,0.0,,26,,,,,,0.0,211682,geometry/pose_raw,-4.660423278808594,0.0
0.0,0.0,,27,,,,,,0.0,211688,geometry/pose_raw,-4.661927223205566,0.0
0.0,0.0,,28,,,,,,0.0,211696,geometry/pose_raw,-4.662214279174805,0.0
0.0,0.0,,29,,,,,,0.0,211707,geometry/pose_raw,-4.662527561187744,0.0
0.0,0.0,,30,,,,,,0.0,211716,geometry/pose_raw,-4.663637161254883,0.0
0.0,0.0,,31,,,,,,0.0,211728,geometry/pose_raw,-4.664261817932129,0.0
