dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,10,,,,,,0.0,378863,geometry/pose_raw,97.19843292236328,0.0
0.0,0.0,,11,,,,,,0.0,378872,geometry/pose_raw,97.1973876953125,0.0
0.0,0.0,,12,,,,,,0.0,378883,geometry/pose_raw,97.19695281982422,0.0
0.0,0.0,,13,,,,,,0.0,378892,geometry/pose_raw,97.19673919677734,0.0
0.0,0.0,,14,,,,,,0.0,378906,geometry/pose_raw,97.19737243652344,0.0
0.0,0.0,,15,,,,,,0.0,378922,geometry/pose_raw,97.19641876220703,0.0
0.0,0.0,,16,,,,,,0.0,378929,geometry/pose_raw,97.19737243652344,0.0
,,"[ 187  406  609  828 1046 1250 1468 1671 1890 2109 2312 2531 2750 2953
 3171 3375 3593 3812 4015 4234 4453 4656 4875 5078 5296 5515 5718 5937
 6156 6359 6578 6781]",17,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[-5.53083569e-02 -2.73303073e-02 -7.64925964e-03 -7.88392499e-03
 -5.87526895e-03 -6.53840182e-03 -4.56281146e-03 -5.94742177e-03
 -8.75090307e-04 -1.56628736e-03 -3.26421671e-03 -1.68844603e-03
 -2.44177622e-03 -1.41934713e-03 -5.51137980e-03 -5.67724230e-03
  1.04800742e-02  1.90216699e-03  3.74828669e-04 -2.53033417e-04
  1.97870642e-04 -2.80727330e-03 -2.97576748e-03 -2.61907047e-03
 -2.23079720e-03  6.42563042e-04 -1.01895654e-04 -4.00222791e-03
 -3.90776247e-03 -3.15636455e-04  3.75385454e-04  5.13451931e-04
 -3.57057806e-03  1.29779242e-02  4.21068445e-03  7.21500115e-03
  3.35696456e-03  3.88859393e-04  1.07993474e-02  1.11818954e-03
  2.61229672e-03 -6.60424586e-04  1.54337822e-03  2.40816502e-03
 -2.48210900e-03  1.18960603e-03  5.40165580e-04  1.24364649e-03
  6.28994196e-04 -5.77103579e-04 -7.29220337e-05  2.06258404e-03
  7.23403413e-04  4.05074912e-04  1.34010843e-04  5.93369943e-04
  2.34546792e-03 -2.89957318e-03  1.76142043e-04  1.08702516e-03
 -1.33985945e-04 -8.34898325e-04 -8.43105314e-04  8.45196540e-04
 -8.07305798e-03 -1.17648579e-02 -1.83104887e-03 -1.87128987e-02
 -2.52430938e-04  1.31377019e-02 -8.16928782e-03 -1.67997577e-03
 -3.49480752e-03 -2.31102458e-03 -4.18358156e-03 -1.95021310e-03
 -2.86684860e-03  5.09022502e-04 -1.79306639e-03 -5.18349931e-04
 -5.80559950e-04 -2.40561523e-04 -8.23974609e-04 -2.37726630e-03
 -1.87883561e-03  6.84010680e-04 -4.05164537e-05 -7.49165774e-04
 -6.41510589e-04 -2.88747554e-03 -7.07847939e-05  1.08386972e-03
  1.78543734e-03  1.15413533e-03  1.94163050e-03 -9.30451613e-04
 -3.04740191e-01 -7.35823391e-03 -1.97414998e-02 -1.60634276e-02
 -1.18601471e-02 -1.32898204e-02 -1.72528476e-02 -8.51403177e-03
 -7.33723957e-03 -6.17132382e-03 -7.90908816e-04 -1.75915193e-03
 -4.93579218e-03 -1.27131725e-03 -2.19897646e-03 -1.97110162e-03
 -2.75859633e-03 -3.85577860e-03 -5.72188525e-04 -1.88813475e-03
 -1.08793005e-03  4.55559930e-05 -4.39768843e-03 -4.39108722e-03
 -4.33051959e-03  1.16149476e-03 -3.64680402e-03 -9.96135408e-04
  5.52818412e-04  3.87662696e-03 -3.45266599e-05  6.89977896e-04]","[ 3.9422378e-02 -2.1463737e-02 -2.3960990e-03  4.8011011e-03
  1.7352600e-03 -8.9023716e-04  1.7936206e-03 -7.1747578e-05
 -3.6793452e-04 -1.1451825e-03  1.2981056e-03  7.2308001e-04
 -8.5616787e-04 -6.1787624e-04  5.3867209e-04 -2.9534202e-03
  9.3796700e-03 -1.0314140e-03 -1.7283183e-03 -7.9132442e-04
  1.0597948e-03 -9.3413622e-04  2.0564671e-03  1.5264973e-03
 -1.3718463e-03  1.1378662e-03  3.1808837e-04 -1.3658934e-03
  1.2186635e-03  2.0684039e-03  3.2080440e-03  1.4653207e-03
  3.6956102e-02  3.8688642e-03  5.3058378e-03 -2.5853969e-04
  4.5495844e-03 -5.5131479e-04  3.8714141e-03 -1.1836302e-03
 -3.3635760e-04 -1.0350894e-05  1.7437797e-04  2.5729998e-04
  1.1346504e-03  1.4068456e-03 -4.7799692e-04 -7.0896785e-05
  9.6693082e-04 -1.2439530e-03 -2.7792663e-03 -1.0792350e-03
 -3.8826041e-04 -1.1438072e-04  1.8854358e-04  3.7182824e-04
  1.1297938e-04 -5.2347715e-04 -2.5156120e-04 -8.8289380e-04
  8.3093991e-04 -5.7448226e-04  9.0537331e-04  4.5769551e-04
 -1.1084013e-02  1.8818433e-03  1.1840086e-02  1.4453478e-02
 -4.2461227e-03 -9.5025087e-03 -4.4670398e-03 -3.3463552e-03
  6.9759286e-04 -3.3055036e-03 -1.7321839e-03  1.6802119e-03
 -8.7851076e-06 -1.9593535e-04 -4.0195067e-05  2.7119895e-04
  1.0505619e-03  1.7651281e-03  1.4413032e-05 -1.9916915e-06
 -7.9920556e-04 -9.1349729e-04  2.4156342e-04  2.0323577e-03
  1.5422566e-03 -2.7713184e-03 -3.2717755e-05  8.5760126e-05
  1.4489499e-04  1.3125088e-03  4.1701936e-04  1.0872250e-03
  1.2574425e-01 -2.4434582e-03 -1.1312716e-03  1.4239392e-03
  9.8771590e-04 -6.1716192e-04 -7.4484707e-03  1.8706623e-03
  2.1339690e-03  4.1016075e-04  1.8752196e-03 -4.5879455e-03
 -1.0713574e-03  1.9235340e-03  1.3398002e-03  1.3882013e-03
 -5.4877317e-03 -5.4537472e-03 -4.9725366e-03  5.1112339e-04
 -1.6153500e-03  4.3884609e-03  1.9431714e-03 -3.6067131e-04
  1.9024854e-04 -3.1540340e-03 -2.2069882e-03  3.9342036e-03
  3.6826397e-03 -1.4787975e-03  9.0240606e-04  4.0636514e-03]",,378931,audio/signals_f,,
0.0,0.0,,18,,,,,,0.0,378938,geometry/pose_raw,97.1972427368164,0.0
0.0,0.0,,19,,,,,,0.0,378945,geometry/pose_raw,97.19676971435547,0.0
0.0,0.0,,20,,,,,,0.0,378954,geometry/pose_raw,97.1959228515625,0.0
0.0,0.0,,21,,,,,,0.0,378963,geometry/pose_raw,97.19709014892578,0.0
0.0,0.0,,22,,,,,,0.0,378972,geometry/pose_raw,97.19728088378906,0.0
0.0,0.0,,23,,,,,,0.0,378983,geometry/pose_raw,97.19840240478516,0.0
0.0,0.0,,24,,,,,,0.0,378997,geometry/pose_raw,97.19815063476562,0.0
0.0,0.0,,25,,,,,,0.0,379003,geometry/pose_raw,97.19709014892578,0.0
0.0,0.0,,26,,,,,,0.0,379014,geometry/pose_raw,97.19650268554688,0.0
0.0,0.0,,27,,,,,,0.0,379022,geometry/pose_raw,97.19667053222656,0.0
0.0,0.0,,28,,,,,,0.0,379031,geometry/pose_raw,97.19657135009766,0.0
